Data,Jogador,Time,Linha,Odd,Pts(Real),EV+%,Vitória%,Valor Aposta,Tipo,Resultado,Lucro/Prejuízo,Deletar
2026-04-02 09:04:51,Jordan Miller,LAC,8.5,2.00,12.0,43.62,71.81,R$ 100.00,Over,Green,R$ 100.00,False
2026-04-03 10:15:29,Kobe Brown,IND,10.0,1.86,12.0,38.04,74.21,R$ 100.00,Over,Green,R$ 86.00,False
2026-04-03 10:16:29,Pascal Siakam,IND,23.5,1.90,30.0,89.96,99.98,R$ 100.00,Over,Green,R$ 90.00,False
2026-04-03 10:21:19,VJ Edgecombe,PHI,15.5,1.95,8.0,95.00,100.00,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-03 10:22:02,Quentin Grimes,PHI,12.5,1.95,10.0,94.88,99.94,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-03 10:23:05,Kelly Oubre Jr.,PHI,12.5,1.86,21.0,86.00,100.00,R$ 100.00,Over,Green,R$ 86.00,False
2026-04-03 12:35:16,Ben Saraf,BKN,9.5,1.83,2.0,55.11,84.76,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-03 12:36:00,Ziaire Williams,BKN,11.5,1.86,8.0,37.50,73.93,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-03 12:36:40,Matas Buzelis,CHI,16.5,1.80,11.0,59.21,88.45,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-03 12:38:15,OG Anunoby,NYK,15.5,1.83,31.0,52.68,83.43,R$ 100.00,Over,Green,R$ 83.00,False
2026-04-03 12:40:42,Sandro Mamukelashvili,TOR,11.5,1.95,10.0,90.27,97.58,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-03 12:41:44,Cedric Coward,MEM,13.5,1.90,15.0,72.71,90.90,R$ 100.00,Over,Green,R$ 90.00,False
2026-04-03 12:43:14,Ace Bailey,UTA,18.5,1.89,22.0,88.89,99.94,R$ 100.00,Over,Green,R$ 89.00,False
2026-04-03 12:43:59,Brice Sensabaugh,UTA,20.5,1.95,20.0,87.96,96.39,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-03 12:44:23,Cody Williams,UTA,13.5,1.80,27.0,79.66,99.81,R$ 100.00,Over,Green,R$ 80.00,False
2026-04-03 12:46:34,Kevin Durant,BKN,24.5,1.83,25.0,76.85,96.64,R$ 100.00,Over,Green,R$ 83.00,False
2026-04-03 12:47:31,Paolo Banchero,ORL,23.5,1.86,10.0,84.95,99.43,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-03 12:48:12,Jevon Carter,ORL,7.5,2.00,5.0,87.39,93.70,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-03 12:53:04,Precious Achiuwa,SAC,14.5,1.89,12.0,64.24,86.90,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-03 12:53:42,Devin Carter,SAC,12.5,1.80,9.0,63.70,90.94,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-03 12:54:42,Maxime Raynaud,SAC,14.5,2.00,28.0,81.83,90.91,R$ 100.00,Over,Green,R$ 100.00,False
2026-04-13 16:34:34,Bam Adebayo,MIA,21.5,1.95,6.0,94.77,99.88,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-13 16:35:15,Tyler Herro,MIA,21.5,1.95,23.0,68.06,86.19,R$ 100.00,Over,Green,R$ 95.00,False
2026-04-13 16:36:54,Pelle Larsson,MIA,9.5,1.83,6.0,79.17,97.90,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-13 16:37:49,Davion Mitchell,MIA,8.5,1.83,28.0,78.83,97.72,R$ 100.00,Over,Green,R$ 83.00,False
2026-04-13 16:44:26,Jalen Green,PHX,18.5,1.90,35.0,73.42,91.28,R$ 100.00,Over,Green,R$ 90.00,False
2026-04-15 16:59:56,Adem Bona,PHI,4.5,1.74,2.0,73.64,99.79,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-15 17:01:11,Quentin Grimes,PHI,10.5,1.74,4.0,73.95,99.97,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-15 17:02:07,Kelly Oubre Jr.,PHI,13.5,1.90,19.0,90.00,100.00,R$ 100.00,Over,Green,R$ 90.00,False
2026-04-15 17:03:43,Draymond Green,GSW,7.5,2.00,7.0,69.74,84.87,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-15 17:04:33,Gary Payton II,GSW,6.5,1.89,6.0,75.24,92.72,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-15 17:05:57,Darius Garland,LAC,20.5,1.90,21.0,87.11,98.48,R$ 100.00,Over,Green,R$ 90.00,False
2026-04-15 17:06:39,Bennedict Mathurin,LAC,11.5,1.83,23.0,80.41,98.58,R$ 100.00,Over,Green,R$ 83.00,False
2026-04-17 18:56:54,Jamal Cain,ORL,3.5,1.76,,74.31,99.04,R$ 100.00,Over,-,-,False
2026-04-17 18:57:49,Tristan da Silva,ORL,4.5,1.76,,48.29,84.26,R$ 100.00,Over,-,-,False
2026-04-17 19:00:33,De'Anthony Melton,GSW,9.5,1.95,,93.87,99.42,R$ 100.00,Over,-,-,False
2026-04-17 21:32:18,Gary Payton II,GSW,7.5,1.95,,71.34,87.87,R$ 100.00,Over,-,-,False
