Data,Jogador,Time,Linha,Odd,Pts(Real),EV+%,Vitória%,Valor Aposta,Tipo,Resultado,Lucro/Prejuízo,Deletar
2026-03-30 09:00:37,VJ Edgecombe,PHI,13.5,1.83,13.0,82.67,99.82,R$ 100.00,Over,Red,R$ -100.00,False
2026-03-30 09:02:04,Quentin Grimes,NYK,9.5,2.00,11.0,100.00,100.00,R$ 100.00,Over,Green,R$ 100.00,False
2026-03-30 09:02:59,Bam Adebayo,MIA,21.5,1.89,23.0,88.89,99.94,R$ 100.00,Over,Green,R$ 89.00,False
2026-03-30 09:03:22,Tyler Herro,MIA,22.5,1.95,30.0,73.86,89.16,R$ 100.00,Over,Green,R$ 95.00,False
2026-03-30 09:03:56,Davion Mitchell,SAC,8.5,1.80,9.0,77.55,98.64,R$ 100.00,Over,Green,R$ 80.00,False
2026-03-30 09:06:20,Payton Pritchard,BOS,17.5,1.95,16.0,37.24,70.38,R$ 100.00,Over,Red,R$ -100.00,False
2026-03-30 09:07:18,Nickeil Alexander-Walker,NOP,16.5,1.80,17.0,44.24,80.13,R$ 100.00,Over,Green,R$ 80.00,False
2026-03-30 09:08:10,CJ McCollum,POR,16.5,1.80,14.0,49.80,83.22,R$ 100.00,Over,Red,R$ -100.00,False
2026-03-30 11:15:47,Tre Jones,SAS,13.5,1.83,23.0,69.51,92.63,R$ 100.00,Over,Green,R$ 83.00,False
2026-03-30 11:16:59,Harrison Barnes,SAC,7.5,1.89,3.0,55.60,82.33,R$ 100.00,Over,Red,R$ -100.00,False
2026-03-30 11:17:53,Julian Champagnie,PHI,9.5,1.86,13.0,55.80,83.76,R$ 100.00,Over,Green,R$ 86.00,False
2026-03-30 11:18:50,Dylan Harper,SAS,12.5,1.80,13.0,68.13,93.41,R$ 100.00,Over,Green,R$ 80.00,False
2026-03-30 11:19:36,Luke Kornet,CHI,5.5,1.83,10.0,25.02,68.32,R$ 100.00,Over,Green,R$ 83.00,False
2026-03-30 11:21:57,Jalen Green,HOU,20.5,1.83,21.0,44.80,79.13,R$ 100.00,Over,Green,R$ 83.00,False
2026-03-30 11:23:10,Cedric Coward,MEM,14.5,1.86,7.0,65.89,89.19,R$ 100.00,Over,Red,R$ -100.00,False
2026-03-30 11:24:06,Donte DiVincenzo,MIL,13.5,1.90,15.0,62.44,85.49,R$ 100.00,Over,Green,R$ 90.00,False
2026-03-30 11:24:46,Rudy Gobert,UTA,13.5,1.90,14.0,83.70,96.68,R$ 100.00,Over,Green,R$ 90.00,False
2026-03-30 11:25:09,Julius Randle,NYK,20.5,1.89,24.0,36.76,72.36,R$ 100.00,Over,Green,R$ 89.00,False
2026-03-30 11:28:52,Donovan Mitchell,UTA,26.5,1.89,34.0,52.70,80.80,R$ 100.00,Over,Green,R$ 89.00,False
2026-03-30 11:29:35,Ace Bailey,UTA,18.5,1.90,19.0,89.82,99.90,R$ 100.00,Over,Green,R$ 90.00,False
2026-03-30 11:30:01,Kyle Filipowski,UTA,13.5,1.86,20.0,79.10,96.29,R$ 100.00,Over,Green,R$ 86.00,False
2026-03-30 11:30:37,Brice Sensabaugh,UTA,20.5,1.86,18.0,86.00,100.00,R$ 100.00,Over,Red,R$ -100.00,False
2026-03-30 11:31:06,Cody Williams,UTA,13.5,1.90,26.0,89.71,99.85,R$ 100.00,Over,Green,R$ 90.00,False
2026-03-30 12:07:34,Paul Reed,PHI,12.5,1.90,21.0,75.90,92.58,R$ 100.00,Over,Green,R$ 90.00,False
2026-03-30 12:08:48,Shai Gilgeous-Alexander,OKC,29.5,1.89,47.0,75.50,92.86,R$ 100.00,Over,Green,R$ 89.00,False
2026-03-31 11:07:07,Jevon Carter,ORL,6.5,1.80,0.0,79.52,99.74,R$ 100.00,Over,Red,R$ -100.00,False
2026-03-31 11:22:29,LaMelo Ball,CHA,19.5,1.89,14.0,63.88,86.71,R$ 100.00,Over,Red,R$ -100.00,False
2026-03-31 11:24:16,Josh Green,CHA,2.5,1.71,3.0,49.58,87.47,R$ 100.00,Over,Green,R$ 71.00,False
2026-03-31 11:26:25,Drake Powell,BKN,7.5,1.76,10.0,23.70,70.29,R$ 100.00,Over,Green,R$ 76.00,False
2026-03-31 11:26:55,Ben Saraf,BKN,10.5,1.95,7.0,94.93,99.97,R$ 100.00,Over,Red,R$ -100.00,False
2026-03-31 11:27:21,Nolan Traore,BKN,10.5,1.80,10.0,69.83,94.35,R$ 100.00,Over,Red,R$ -100.00,False
2026-03-31 11:27:54,Ziaire Williams,BKN,11.5,1.89,10.0,70.72,90.33,R$ 100.00,Over,Red,R$ -100.00,False
2026-03-31 11:32:20,Karl-Anthony Towns,NYK,17.5,1.95,22.0,45.32,74.52,R$ 100.00,Over,Green,R$ 95.00,False
2026-03-31 11:33:23,Reed Sheppard,HOU,13.5,1.83,20.0,33.65,73.04,R$ 100.00,Over,Green,R$ 83.00,False
2026-03-31 11:33:44,Jabari Smith Jr.,HOU,14.5,1.83,15.0,34.38,73.43,R$ 100.00,Over,Green,R$ 83.00,False
2026-03-31 11:34:07,Amen Thompson,HOU,15.5,2.00,17.0,81.20,90.60,R$ 100.00,Over,Green,R$ 100.00,False
2026-03-31 11:36:10,Daniss Jenkins,DET,15.5,1.89,21.0,51.32,80.06,R$ 100.00,Over,Green,R$ 89.00,False
2026-03-31 11:37:42,Donovan Mitchell,CLE,25.5,1.95,10.0,71.25,87.82,R$ 100.00,Over,Red,R$ -100.00,False
2026-03-31 11:38:38,Luka Dončić,LAL,32.5,1.86,42.0,80.62,97.11,R$ 100.00,Over,Green,R$ 86.00,False
2026-03-31 11:39:22,Austin Reaves,LAL,21.5,1.83,19.0,44.38,78.89,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-01 09:23:12,Zaccharie Risacher,ATL,6.5,1.83,4.0,50.78,82.39,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-01 09:23:44,Gabe Vincent,ATL,3.5,1.83,5.0,33.72,73.07,R$ 100.00,Over,Green,R$ 83.00,False
2026-04-01 09:24:29,Paolo Banchero,ORL,24.5,1.95,11.0,94.99,100.00,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-01 09:25:44,Wendell Carter Jr.,ORL,10.5,1.90,14.0,57.68,82.99,R$ 100.00,Over,Green,R$ 90.00,False
2026-04-01 09:26:06,Tristan da Silva,ORL,11.5,1.89,9.0,81.81,96.20,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-01 09:27:08,VJ Edgecombe,PHI,14.5,1.89,23.0,89.00,100.00,R$ 100.00,Over,Green,R$ 89.00,False
2026-04-01 09:28:00,Quentin Grimes,PHI,11.5,1.89,12.0,88.96,99.98,R$ 100.00,Over,Green,R$ 89.00,False
2026-04-01 09:28:38,Tyrese Maxey,PHI,24.5,1.86,28.0,40.04,75.29,R$ 100.00,Over,Green,R$ 86.00,False
2026-04-01 09:29:56,Jaylen Brown,BOS,27.5,1.89,43.0,88.54,99.76,R$ 100.00,Over,Green,R$ 89.00,False
2026-04-01 09:34:42,Kevin Durant,HOU,24.5,1.86,19.0,79.73,96.63,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-01 09:35:19,Alperen Sengun,HOU,18.5,2.00,25.0,84.50,92.25,R$ 100.00,Over,Green,R$ 100.00,False
2026-04-01 09:35:47,Reed Sheppard,HOU,13.5,1.83,27.0,78.72,97.66,R$ 100.00,Over,Green,R$ 83.00,False
2026-04-01 09:36:19,Amen Thompson,HOU,16.5,2.00,18.0,71.89,85.95,R$ 100.00,Over,Green,R$ 100.00,False
2026-04-01 09:38:10,Cedric Coward,MEM,12.5,1.80,15.0,70.71,94.84,R$ 100.00,Over,Green,R$ 80.00,False
2026-04-01 09:38:50,Olivier-Maxence Prosper,MEM,11.5,2.00,17.0,63.85,81.92,R$ 100.00,Over,Green,R$ 100.00,False
2026-04-01 09:39:54,Precious Achiuwa,SAC,13.5,2.00,28.0,84.41,92.21,R$ 100.00,Over,Green,R$ 100.00,False
2026-04-01 09:40:31,Devin Carter,SAC,12.5,1.83,13.0,77.42,96.95,R$ 100.00,Over,Green,R$ 83.00,False
2026-04-01 09:41:20,Malik Monk,SAC,12.5,1.89,18.0,88.98,99.99,R$ 100.00,Over,Green,R$ 89.00,False
2026-04-01 09:41:36,Maxime Raynaud,SAC,14.5,1.89,6.0,55.94,82.51,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-01 09:42:47,Sandro Mamukelashvili,TOR,13.5,1.89,17.0,73.54,91.82,R$ 100.00,Over,Green,R$ 89.00,False
2026-04-01 09:43:40,Ja'Kobe Walter,TOR,9.5,1.89,8.0,50.21,79.48,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-01 09:44:42,Bruce Brown,DEN,6.5,1.74,11.0,49.55,85.95,R$ 100.00,Over,Green,R$ 74.00,False
2026-04-01 09:46:01,Ace Bailey,UTA,19.5,1.86,12.0,85.71,99.84,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-01 09:46:33,Brice Sensabaugh,UTA,20.5,1.86,28.0,79.30,96.40,R$ 100.00,Over,Green,R$ 86.00,False
2026-04-01 09:46:58,Cody Williams,UTA,14.5,1.89,9.0,88.12,99.54,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-01 09:48:04,Harrison Barnes,SAS,5.5,1.76,13.0,55.77,88.51,R$ 100.00,Over,Green,R$ 76.00,False
2026-04-01 09:49:03,Dylan Harper,SAS,12.5,1.95,13.0,48.82,76.32,R$ 100.00,Over,Green,R$ 95.00,False
2026-04-01 09:49:24,Keldon Johnson,SAS,12.5,1.89,11.0,74.87,92.52,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-01 09:50:00,Draymond Green,GSW,9.5,1.80,14.0,60.50,89.17,R$ 100.00,Over,Green,R$ 80.00,False
2026-04-02 08:44:11,Naz Reid,MIN,11.5,1.83,19.0,40.17,76.60,R$ 100.00,Over,Green,R$ 83.00,False
2026-04-02 08:45:06,Tobias Harris,DET,14.5,1.90,2.0,50.15,79.03,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-02 08:45:34,Daniss Jenkins,DET,17.5,1.95,26.0,83.14,93.92,R$ 100.00,Over,Green,R$ 95.00,False
2026-04-02 08:46:17,Ausar Thompson,DET,9.5,1.95,7.0,36.66,70.08,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-02 08:47:40,Luka Dončić,LAL,33.5,1.89,12.0,69.21,89.53,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-02 08:49:07,Luke Kennard,LAL,5.5,1.80,7.0,28.73,71.52,R$ 100.00,Over,Green,R$ 80.00,False
2026-04-02 08:49:41,Austin Reaves,LAL,19.5,1.83,15.0,56.85,85.71,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-02 08:51:40,Jaylin Williams,OKC,4.5,1.76,7.0,65.85,94.24,R$ 100.00,Over,Green,R$ 76.00,False
2026-04-02 08:52:36,James Harden,CLE,17.5,1.83,19.0,62.61,88.86,R$ 100.00,Over,Green,R$ 83.00,False
2026-04-02 08:53:13,Sam Merrill,CLE,11.5,1.95,3.0,88.54,96.69,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-02 08:53:45,Donovan Mitchell,CLE,23.5,1.89,25.0,87.46,99.18,R$ 100.00,Over,Green,R$ 89.00,False
2026-04-02 08:54:44,Draymond Green,GSW,8.5,1.95,8.0,82.71,93.70,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-02 08:56:55,Kristaps Porziņģis,GSW,19.5,1.95,16.0,74.03,89.24,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-02 08:59:17,Toumani Camara,POR,14.5,2.00,23.0,73.03,86.51,R$ 100.00,Over,Green,R$ 100.00,False
2026-04-02 09:00:42,Harrison Barnes,SAS,6.5,1.89,3.0,54.54,81.77,R$ 100.00,Over,Red,R$ -100.00,False
2026-04-02 09:01:48,Dylan Harper,SAS,10.5,1.90,19.0,71.83,90.44,R$ 100.00,Over,Green,R$ 90.00,False
2026-04-02 09:02:11,Keldon Johnson,SAS,12.5,1.95,13.0,80.43,92.53,R$ 100.00,Over,Green,R$ 95.00,False
